CONFIGURATION CODE ,STANDARD,ADD ONS
ISP3100-C02,ISP3100-S07,"ISP31-MCRSET,ISP31-3DVIEW,ISP31-PCRAIL,ISP31-ION,ISP31-BCRSET"
ISP3100-C03,ISP3100-S03,"ISP31-MCRSET,ISP31-PUNCHCT,ISP31-IFMPHV1,ISP31-MAGRCLAMP,ISP31-SECSGEM"
ISP3100-C04,ISP3100-S04,"ISP31-MCRSET ,ISP31-3DVIEW, ISP31-PCRAIL, ISP31-MAGRCLAMP, ISP31-BSECSGEM"
ISP3100-C05,ISP3100-S05,"ISP31-3DVIEW,ISP31-SCRIBE,ISP31-MCRSET,ISP31-ANTIVIB,ISP31-LPSTATION,ISP31-TILTBARM,ISP31-SECSGEM"
ISP3100-C06,ISP3100-S06,"ISP31-MAGRCLAMP,ISP31-PUNCH,ISP31-DIESETV1,ISP31-DIESETV2,ISP31-CUSTRACLV1,ISP31-CUSTRACLV2 ,ISP31-MCRSET,ISP31-SECSGEM"
ISP3100-C07,ISP3100-S07,"ISP31-MCRSET,ISP31-3DVIEW,ISP31-PCRAIL,ISP31-ION,ISP31-BCRSET,ISP31-COVER"
ISP3100-C08,ISP3100-S08,"ISP31-CSMYCODE,ISP31-MCRSET"
ISP3100-C09,ISP3100-S09,"ISP31-MAGRCLAMP,ISP31-3DVIEW"
ISP3100-C10,ISP3100-S10,"ISP31-3DR1,ISP31-BTOOLS,ISP31-BCRSET,ISP31-COVER,ISP31-LABEL,ISP31-COVERMO,ISP31-MAGPOG"
ISP3100-C11,ISP3100-S03,"ISP31-MCRSET,ISP31-3DVIEW,ISP31-MAGRCLAMP"
ISP3100-C12,ISP3100-S11,"ISP31-3DVIEW,ISP31-PCRAIL,ISP31-4MPCAM,ISP31-LCDUP"
ISP3100-C13,ISP3100-S09,"ISP31-MPLATE,ISP31-SPART"
ISP3100-C14,ISP3100-S12,"ISP31-MCRSETV2,ISP31-3DVIEW,ISP31-PCRAIL,ISP31-ESDCOVER,ISP31-BCRSET,ISP31-BSECSGEM,ISP31-DMAG,ISP31-32MON4K,ISP31-LFPS,ISP31-FMKITS"
ISP3100-C15,ISP3100-S13,"ISP31-3DVIEW,ISP31-PCRAIL,ISP31-EMAP"
ISP3100-C16,ISP3100-S14,"ISP31-3DVIEW,ISP31-EMAP"
ISP3100-C17,ISP3100-S03,"ISP31-MCRSET,ISP31-3DVIEW,ISP31-MAPCONV"
